predicate,argument,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
rescue,house,The firefighters rescued the house from the burning building.,The police rescued the house from the flood.,The rescue team rescued the house from the earthquake.,The firefighters rescued the house from the fire.,The police rescued the house from the robbery.
rescue,park,The firefighters rescued the park ranger from the burning building.,The police rescued the lost hiker from the mountain.,The lifeguards rescued the swimmer from the shark-infested waters.,The search and rescue team rescued the missing hiker from the dense forest.,The coast guard rescued the sailor from the sinking ship.
rescue,cave,The rescue team rescued the trapped people from the cave.,The cave was rescued by the rescue team.,The rescue team rescued the people from the cave.,The cave was rescued by the rescue team.,The rescue team rescued the people from the cave.
rescue,mine,The mine was rescued by the rescue team.,The rescue team rescued the mine.,The mine was rescued by the rescue team at the mine site.,The rescue team rescued the mine at the mine site.,The mine was rescued by the rescue team at the mine site after a long and difficult rescue operation.
rescue,ocean,The rescue team was sent to the ocean to save the stranded sailors.,The rescue mission was launched from the ocean to retrieve the lost submarine.,The rescue boat was sent to the ocean to retrieve the survivors of the shipwreck.,The rescue team was deployed to the ocean to search for the missing hikers.,The rescue helicopter was sent to the ocean to rescue the stranded fishermen.
rescue,battlefield,The rescue team was sent to the battlefield to retrieve the survivors.,The rescue operation was conducted on the battlefield to save the hostages.,The rescue mission was launched from the battlefield to retrieve the stranded sailors.,The rescue team was deployed to the battlefield to rescue the trapped miners.,The rescue helicopters were sent to the battlefield to rescue the stranded hikers.
rescue,prison,The police rescued the prisoners from the prison.,The firefighters rescued the hostages from the burning building.,The rescue team rescued the survivors from the wreckage.,The search and rescue team rescued the missing person from the flooded area.,The military rescued the trapped soldiers from the battlefield.
exercise,car,I exercise my car in the garage.,The car exercises its engine in the driveway.,The car's engine exercises in the garage.,The car's engine exercises in the driveway.,The car exercises its engine in the garage.
exercise,gymnasium,I exercise at the gymnasium every morning.,The gymnasium is where I exercise.,I go to the gymnasium to exercise.,I exercise at the gymnasium to get in shape.,I exercise at the gymnasium to improve my physical fitness.
exercise,house,I exercise in the house.,The house exercises in the gym.,The house is where I exercise.,I exercise in the house every day.,The house is where I exercise regularly.
exercise,school,The school exercises in the gym.,The gym exercises in the school.,The school exercises in the classroom.,The classroom exercises in the school.,The school exercises in the playground.
exercise,track,I exercise on the track.,The track is where I exercise.,I exercise on the track at the gym.,The track is where I exercise at the gym.,I exercise on the track at the park.
exercise,stadium,Exercise in the stadium,Exercise at the stadium,Exercise on the stadium,Exercise in the stadium's field,Exercise on the stadium's field
exercise,campground,I went to the campground to exercise.,The campground was a great place to exercise.,I exercised at the campground for hours.,The campground was a great place to get some exercise.,I went to the campground to get some exercise in.
study,mall,I studied at the mall.,The mall is where I studied.,I studied at the mall for a long time.,I studied at the mall for a semester.,I studied at the mall for a year.
study,library,I study at the library.,The library is where I study.,I study in the library.,The library is where I do my homework.,I study in the library every day.
study,bank,I studied at the bank.,The bank studied the financial market.,The bank's study of the financial market was thorough.,The study of the financial market by the bank was thorough.,The bank's study of the financial market was thorough and comprehensive.
study,gymnasium,I study at the gymnasium.,The gymnasium is where I study.,I study in the gymnasium.,The gymnasium is where I do my homework.,I study in the gymnasium every day.
study,car,I studied the car in the garage.,The car was studied in the laboratory.,The car was studied in the library.,The car was studied in the park.,The car was studied in the forest.
study,office,I study in the office.,The office is where I study.,I study in the office every day.,I study in the office for hours.,I study in the office to pass my exams.
study,bedroom,I study in my bedroom.,She studies in the bedroom.,He studies in the bedroom.,They study in the bedroom.,We study in the bedroom.
study,dormitory,I study in the dormitory.,The dormitory is where I study.,I study in the dormitory at night.,I study in the dormitory during the day.,I study in the dormitory for hours.
study,classroom,I studied in the classroom.,The classroom was where I studied.,I studied in the classroom for three hours.,I studied in the classroom with my friends.,I studied in the classroom for my exam.
escape,hospital,The patient escaped from the hospital.,The criminal escaped from the police station.,The fire escaped from the building.,The virus escaped from the lab.,The ship escaped from the storm.
escape,prison,The prisoner escaped from prison.,The fugitive escaped to freedom.,The criminal escaped from the police station.,The hostage escaped from the kidnapper's clutches.,The victim escaped from the abusive relationship.
escape,school,The school escaped from the burning building.,The school escaped to the safety of the nearby forest.,The school escaped to a nearby town.,The school escaped to a nearby city.,The school escaped to a nearby country.
escape,resort,The escape route was a narrow alleyway that led to the roof.,The resort was a popular destination for those looking to escape the city.,The escape pod was designed to take the crew to safety in case of an emergency.,The resort was a popular destination for those looking to escape the heat of the city.,The escape route was a secret path that only a few people knew about.
escape,gymnasium,The thief escaped from the gymnasium.,The burglar escaped through the gymnasium.,The criminal escaped out of the gymnasium.,The criminal escaped through the gymnasium.,The criminal escaped out of the gymnasium.
escape,campground,The group of friends escaped from the campground by hiking through the woods.,The escaped prisoners were able to find shelter in the nearby campground.,The campground was the perfect place for the group to escape from the storm.,The campground was the only place where the group could find safety from the dangerous situation.,The group was able to escape from the campground by using the nearby river as a means of transportation.
deposit,library,Deposit the book in the library.,Deposit the book in the library's collection.,Deposit the book in the library's storage room.,Deposit the book in the library's archives.,Deposit the book in the library's reading room.
deposit,bank,I deposited the money into the bank account.,The bank deposited the money into my account.,The bank deposited the money into the account.,I deposited the money into the bank.,The bank deposited the money into the account.
deposit,hospital,Deposit the hospital's funds in the bank.,Deposit the hospital's money in the bank.,Deposit the hospital's assets in the bank.,Deposit the hospital's funds in a safe place.,Deposit the hospital's money in a safe place.
deposit,store,I deposited the money in the bank account.,The money was deposited in the bank account.,The bank account was deposited with the money.,The money was deposited in the bank.,The bank was deposited with the money.
deposit,instabank,Deposit the money in the instabank.,Deposit the funds in the instabank.,Deposit the cash in the instabank.,Deposit the coins in the instabank.,Deposit the bills in the instabank.
deposit,hotel,I deposited the money in the hotel's safe.,The hotel deposited the money in the safe.,The safe deposit box was located in the hotel.,The hotel's safe deposit box was located in the hotel.,The hotel's safe deposit box was located in the hotel's lobby.
deposit,kitchen,I deposited the money in the kitchen.,The money was deposited in the kitchen.,The kitchen was the location where the money was deposited.,The money was deposited in the kitchen by me.,I deposited the money in the kitchen by myself.
mourn,party,The party mourned the loss of their dear friend.,The mourners gathered at the party to pay their respects.,"The party was a somber affair, with mourners gathered in the living room.","The mourners were dressed in black, and the party was a somber affair.","The party was a somber affair, with mourners gathered in the backyard."
mourn,funeral,The family mourned the funeral of their loved one at the local cemetery.,The community mourned the funeral of the fallen soldier at the national memorial.,The nation mourned the funeral of the former president at the White House.,The city mourned the funeral of the beloved musician at the concert hall.,The family mourned the funeral of their pet at the pet cemetery.
mourn,wedding,"The family mourned the wedding of their daughter, who had passed away in a tragic accident.","The town mourned the loss of its beloved mayor, who had been a pillar of the community.","The nation mourned the death of its hero, who had fought for freedom and justice.","The family mourned the loss of their pet, who had been a loyal companion for many years.","The city mourned the destruction of its historic landmark, which had been a symbol of its heritage."
mourn,bank,The bank mourned the loss of its former CEO.,The mourning bank was filled with tears.,The bank's mourning was a somber affair.,The bank's mourners were dressed in black.,The bank's mourning was a somber and dignified affair.
mourn,cemetery,The family mourned the loss of their loved one in the cemetery.,The cemetery was filled with mourners who had come to pay their respects.,The cemetery was the final resting place of many who had passed away.,The cemetery was a place of remembrance for those who had been lost.,The cemetery was a symbol of the end of life and the beginning of something new.
mourn,temple,The temple was mourned by the people who lived nearby.,The temple was mourned by the people who had lost their loved ones there.,The temple was mourned by the people who had been affected by the recent earthquake.,The temple was mourned by the people who had been affected by the recent floods.,The temple was mourned by the people who had been affected by the recent fire.
mourn,theatre,The theatre was filled with mourners as they paid their respects to the deceased.,The mourners gathered in the theatre to pay their respects to the deceased.,The theatre was the location where the mourners gathered to pay their respects to the deceased.,The theatre was the place where the mourners came to pay their respects to the deceased.,The theatre was the venue where the mourners gathered to pay their respects to the deceased.
worship,theater,The theater was the location of the worship service.,The worship service was held in the theater.,The theater was the site of the worship ceremony.,The worship ceremony was held at the theater.,The theater was the venue for the worship event.
worship,chapel,The congregation gathered in the chapel for worship.,The priest led the congregation in prayer and worship.,The choir sang hymns and hallelujahs during worship.,The organist played beautiful music during the worship service.,The pastor delivered a sermon during the worship service.
worship,school,The school was a place of worship for the students.,The students worshiped at the school.,The school was a place of worship for the community.,The community worshiped at the school.,The school was a place of worship for the town.
worship,bar,The bar was the location of the worship.,The worship took place at the bar.,The bar was the site of the worship.,The worship was held at the bar.,The bar was the venue for the worship.
worship,temple,The people worshiped in the temple.,The temple was the place of worship.,The temple was the site of worship.,The temple was the location of worship.,The temple was the venue for worship.
worship,cemetery,The people worshiped at the cemetery.,The cemetery was the site of the worship ceremony.,The cemetery was the place where the worship took place.,The worship was held at the cemetery.,The cemetery was the location of the worship.
eat,restaurant,I ate at the restaurant last night.,The restaurant was delicious.,I had a great time eating there.,The food was amazing.,I would definitely go back to that restaurant again.
eat,kitchen,I ate breakfast in the kitchen.,The chef cooked dinner in the kitchen.,The waiter served lunch in the kitchen.,The chef prepared the meal in the kitchen.,The waiter delivered the food in the kitchen.
eat,pub,I ate at the pub.,The pub was my favorite place to eat.,I went to the pub to eat.,I had a great time eating at the pub.,The pub was a popular spot for eating.
eat,delicatessen,I went to the delicatessen to eat a sandwich.,The delicatessen was a popular spot for eating a sandwich.,I ate a sandwich at the delicatessen.,The delicatessen was a great place to eat a sandwich.,I had a sandwich at the delicatessen.
eat,stadium,The team ate lunch at the stadium.,The players ate dinner at the stadium.,The fans ate snacks at the stadium.,The stadium ate the food.,The stadium ate the players.
eat,lobby,The lobby was crowded with people eating snacks.,The waiter brought a tray of snacks to the lobby.,The lobby was filled with the smell of freshly baked cookies.,The lobby was the perfect place to grab a quick bite to eat.,The lobby was the only place to find a quiet spot to eat.
eat,bedroom,I ate my dinner in the bedroom.,The cat ate the mouse in the bedroom.,The dog ate the bone in the bedroom.,The baby ate the pacifier in the bedroom.,The chef ate the cake in the bedroom.
shower,gymnasium,I went to the gymnasium to shower after my workout.,The gymnasium was my favorite place to shower after a long day at the office.,I took a long shower in the gymnasium to relax and unwind.,The gymnasium was the perfect place to shower after a long hike.,I went to the gymnasium to shower and get ready for my date.
shower,bathroom,I went to the bathroom to shower.,The bathroom is where I shower.,I showered in the bathroom.,I showered in the bathroom after my run.,I showered in the bathroom before my shower.
shower,pool,The pool was a great place to take a shower.,The shower in the pool was refreshing.,The shower was a welcome relief after a long day at the office.,The shower in the pool was a great way to cool off after a hot day.,The shower in the pool was a great way to relax and unwind.
shower,field,I took a shower in the field.,The field was a great place to take a shower.,The shower in the field was refreshing.,The field was a great place to relax after a long day.,I enjoyed taking a shower in the field.
shower,sauna,I went to the sauna after my shower.,The sauna was located near the shower.,The shower was located in the sauna.,The sauna was a place where I could shower.,I showered in the sauna.
shower,cottage,The cottage is located near the shower.,The shower is located in the cottage.,The cottage has a shower.,The shower is a feature of the cottage.,The cottage is equipped with a shower.
cook,kitchen,Cook the chicken in the kitchen.,Cook the vegetables in the kitchen.,Cook the pasta in the kitchen.,Cook the soup in the kitchen.,Cook the dessert in the kitchen.
cook,restaurant,The restaurant cooked a delicious meal for the customers.,The chef cooked a hearty breakfast for the family.,The cook at the restaurant prepared a tasty lunch for the guests.,The chef at the restaurant cooked a mouth-watering dinner for the party.,The restaurant's cook prepared a delectable dessert for the customers.
cook,trailer,Cook the trailer in the kitchen.,Cook the trailer on the stove.,Cook the trailer in the oven.,Cook the trailer in the microwave.,Cook the trailer in the toaster.
cook,mall,Cook the mall for a delicious meal.,Cook the mall for a quick lunch.,Cook the mall for a romantic dinner.,Cook the mall for a family gathering.,Cook the mall for a special occasion.
cook,campground,Cook the campground for a weekend getaway.,Cook the campground for a family reunion.,Cook the campground for a romantic dinner.,Cook the campground for a picnic.,Cook the campground for a camping trip.
cook,cabin,Cook the cabbage in the cabin.,Cook the chicken in the cabin.,Cook the rice in the cabin.,Cook the vegetables in the cabin.,Cook the soup in the cabin.
cook,tent,Cook the tent in the oven.,Cook the tent on the stove.,Cook the tent in the microwave.,Cook the tent in the fridge.,Cook the tent in the freezer.
sell,store,The store sold the book.,The book was sold by the store.,The store sold the book to the customer.,The customer bought the book from the store.,The store sold the book at a discounted price.
sell,street,The street is selling a lot of cars.,The cars are selling well on the street.,The street is a popular place to sell cars.,The cars are selling quickly on the street.,The street is a busy place to sell cars.
sell,market,The market is selling a lot of cars.,The market is selling a lot of houses.,The market is selling a lot of stocks.,The market is selling a lot of bonds.,The market is selling a lot of real estate.
sell,mall,I sold my car at the mall.,The mall sold the car to me.,The car was sold at the mall.,The mall is where I sold my car.,I sold my car at the mall for a good price.
sell,arena,The arena is the location where the event is held.,The event is held in the arena.,The arena is the venue for the event.,The event takes place in the arena.,The arena is the site of the event.
sell,driveway,I sold my car to the dealership on the driveway.,The car dealership sold the car on the driveway to me.,The driveway was the location where the car was sold.,The car was sold on the driveway by the dealership.,The dealership sold the car on the driveway to the buyer.
sell,pub,The pub sold a lot of beer.,The pub sold out of beer.,The pub sold beer at a discount.,The pub sold beer to the customers.,The pub sold beer to the staff.
sell,desert,Sell the desert to the highest bidder.,Sell the desert to the lowest bidder.,Sell the desert to the middle bidder.,Sell the desert to the first bidder.,Sell the desert to the last bidder.
preach,ghetto,The preacher preached in the ghetto.,The preacher preached in the ghetto about the importance of community service.,The preacher preached in the ghetto about the need for unity and cooperation.,The preacher preached in the ghetto about the importance of education and self-improvement.,The preacher preached in the ghetto about the need for forgiveness and redemption.
preach,airport,The preacher preached at the airport.,The preacher preached at the airport's pulpit.,The preacher preached at the airport's terminal.,The preacher preached at the airport's gate.,The preacher preached at the airport's concourse.
preach,church,The preacher preached in the church.,The preacher preached in the church's sanctuary.,The preacher preached in the church's courtyard.,The preacher preached in the church's parking lot.,The preacher preached in the church's backyard.
preach,synagogue,The rabbi preached in the synagogue.,The pastor preached in the church.,The priest preached in the temple.,The imam preached in the mosque.,The minister preached in the church.
preach,street,The preacher preached on the street.,The preacher preached in the street.,The preacher preached outside the street.,The preacher preached near the street.,The preacher preached on the sidewalk.
preach,classroom,The teacher preached in the classroom.,The pastor preached in the church.,The politician preached in the stadium.,The musician preached in the concert hall.,The artist preached in the gallery.
preach,courtroom,The preacher preached in the courtroom.,The preacher preached in the courtroom about the importance of honesty.,The preacher preached in the courtroom about the dangers of lying.,The preacher preached in the courtroom about the importance of being truthful.,The preacher preached in the courtroom about the consequences of dishonesty.
skate,backyard,I skated in the backyard.,The kids skated in the backyard.,The dog skated in the backyard.,The skateboard skated in the backyard.,The skateboarder skated in the backyard.
skate,park,Skate in the park.,Skate around the park.,Skate through the park.,Skate over the park.,Skate under the park.
skate,pond,Skate on the pond.,Skate around the pond.,Skate near the pond.,Skate by the pond.,Skate in the pond.
skate,rink,Skate at the rink.,Skate on the rink.,Skate in the rink.,Skate around the rink.,Skate through the rink.
skate,arena,Skate in the arena.,Skate around the arena.,Skate on the arena.,Skate through the arena.,Skate over the arena.
skate,lake,Skate on the lake.,Skate around the lake.,Skate near the lake.,Skate by the lake.,Skate in the lake.
skate,schoolyard,The schoolyard was a great place to skate.,Skating in the schoolyard was a lot of fun.,Skating in the schoolyard was a great way to get some exercise.,Skating in the schoolyard was a great way to relax.,Skating in the schoolyard was a great way to spend time with friends.
stroll,countryside,I love strolling through the countryside on a sunny day.,The countryside is a great place to stroll and enjoy the fresh air.,"I strolled through the countryside, taking in the sights and sounds of nature.",The countryside is a peaceful place to stroll and relax.,"I strolled through the countryside, feeling the cool breeze on my skin."
stroll,park,I strolled through the park.,The children strolled in the park.,The couple strolled hand in hand through the park.,The dog strolled through the park with its owner.,The park strolled through the city.
stroll,forest,I strolled through the forest.,The forest strolled by.,The forest strolled through the path.,The forest strolled with me.,The forest strolled away.
stroll,highway,I strolled along the highway.,The children strolled along the highway.,The couple strolled along the highway.,The group of friends strolled along the highway.,The family strolled along the highway.
stroll,field,The children strolled through the field.,The couple strolled hand in hand through the field.,"The dog strolled through the field, enjoying the fresh air.","The group of friends strolled through the field, laughing and chatting.","The tourists strolled through the field, taking in the beautiful scenery."
stroll,riverbank,"The couple strolled along the riverbank, enjoying the scenic view.","The children strolled along the riverbank, playing in the water.","The dog strolled along the riverbank, sniffing around for treats.","The tourists strolled along the riverbank, taking in the sights and sounds of the city.","The jogger strolled along the riverbank, enjoying the peaceful atmosphere."
stroll,bathroom,I strolled to the bathroom to take a leak.,"After a long day at work, I strolled to the bathroom to relax.",I strolled to the bathroom to grab a snack.,I strolled to the bathroom to check my phone.,I strolled to the bathroom to take a shower before bed.
dance,auditorium,The auditorium was filled with people dancing to the beat of the music.,"The dancers moved gracefully across the stage, their movements fluid and precise.","The audience was entranced by the performance, their eyes fixed on the dancers as they danced with passion and energy.","The music was the perfect accompaniment to the dance, the rhythm and melody perfectly in sync with the movements of the dancers.","The dancers were in their element, their movements expressing the emotions and energy of the music."
dance,bar,The bar was dancing to the beat of the music.,The music was dancing to the beat of the bar.,The bar was dancing to the beat of the dance floor.,The dance floor was dancing to the beat of the bar.,The bar was dancing to the beat of the dance party.
dance,ballroom,The ballroom was filled with people dancing to the beat of the music.,The ballroom was the perfect place to dance the night away.,The ballroom was the site of many a memorable dance party.,The ballroom was the place to be on Saturday nights.,The ballroom was the place to go for a night out on the town.
dance,kitchen,The chef danced in the kitchen.,The dancer danced in the kitchen.,The kitchen danced in the kitchen.,The kitchen danced in the dance.,The dance danced in the kitchen.
dance,stage,The dancers danced on the stage.,The stage was the location for the dance performance.,The stage was the setting for the dance show.,The stage was the venue for the dance concert.,The stage was the backdrop for the dance recital.
dance,gymnasium,The gymnasium was the location where the dance performance took place.,The dance performance was held in the gymnasium.,The gymnasium was the venue for the dance performance.,The dance performance was held at the gymnasium.,The gymnasium was the site of the dance performance.
dance,shower,The shower danced in the rain.,The rain danced in the shower.,The shower danced in the sun.,The sun danced in the shower.,The shower danced in the moon.
urinate,backyard,I went to the backyard to urinate.,The backyard was the perfect place to urinate.,I was in the backyard and I had to urinate.,"I was in the backyard and I couldn't hold it any longer, so I had to urinate.","I was in the backyard and I had to go, so I urinated."
urinate,bathroom,I need to go to the bathroom.,I have to use the bathroom.,I'm going to the bathroom.,I'm going to the restroom.,I'm going to the loo.
urinate,mall,I went to the mall to urinate.,The mall was a great place to urinate.,I was in a hurry to urinate at the mall.,I had to urinate at the mall because I was thirsty.,I urinated at the mall because I was tired.
urinate,forest,The forest is a great place to urinate.,The forest is a popular spot for urination.,Urination in the forest is a common activity.,The forest is a convenient location for urination.,Urination in the forest is a relaxing experience.
urinate,field,The field was urinated on by the farmer.,The farmer urinated on the field.,The field was urinated on by the cows.,The cows urinated on the field.,The field was urinated on by the horses.
urinate,lobby,The lobby is where I urinate.,I urinate in the lobby.,The lobby is where I go to urinate.,I urinate in the lobby when I need to.,The lobby is where I go to relieve myself.
urinate,bank,I went to the bank to urinate.,"I needed to urinate, so I went to the bank.",I was at the bank and had to urinate.,I was at the bank and had to go to the bathroom.,I was at the bank and had to use the restroom.
draw,classroom,Draw a picture in the classroom.,Draw a diagram in the classroom.,Draw a map in the classroom.,Draw a chart in the classroom.,Draw a graph in the classroom.
draw,museum,I drew a picture of the museum in my sketchbook.,The artist drew a portrait of the museum's director.,The children drew pictures of the museum's exhibits.,The museum's curator drew a map of the exhibits.,The museum's security guard drew a diagram of the building's layout.
draw,park,Draw a picture of the park.,Draw a map of the park.,Draw a plan for the park.,Draw a diagram of the park.,Draw a sketch of the park.
draw,beach,Draw a picture of the beach.,Draw a map of the beach.,Draw a diagram of the beach.,Draw a model of the beach.,Draw a representation of the beach.
draw,studio,Draw a picture in the studio.,Draw a portrait in the studio.,Draw a landscape in the studio.,Draw a still life in the studio.,Draw a sketch in the studio.
draw,cliff,The artist drew a picture of the cliff on the canvas.,The cliff was drawn in the painting.,The cliff was the subject of the drawing.,The cliff was the location of the drawing.,The cliff was the setting for the drawing.
draw,lake,I drew a picture of the lake.,The lake was drawn by the artist.,The lake was drawn with a pen.,The lake was drawn on a canvas.,The lake was drawn in a painting.
