predicate,argument,role_type,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
disobey,orders,ARG0,The soldier disobeyed the orders to advance.,The employee disobeyed the boss's orders to work overtime.,The child disobeyed the teacher's orders to stay in the classroom.,The driver disobeyed the traffic light's orders to stop.,The doctor disobeyed the patient's orders to take the medicine.
disobey,orders,ARG1,The soldier disobeyed the orders to advance.,The employee disobeyed the manager's orders to work overtime.,The child disobeyed the parent's orders to stay inside.,The driver disobeyed the traffic light's orders to stop.,The doctor disobeyed the patient's orders to take the medicine.
disobey,troops,ARG0,The troops disobeyed their orders.,The soldiers disobeyed their commander.,The protesters disobeyed the police's orders.,The children disobeyed their parents' rules.,The employees disobeyed the company's policies.
disobey,troops,ARG1,The troops disobeyed their orders.,The soldiers disobeyed their commander.,The protesters disobeyed the police's orders.,The children disobeyed their parents' rules.,The employees disobeyed the company's policies.
disown,babysitter,ARG0,The parents disowned the babysitter for neglecting their child.,The babysitter was disowned by the parents for not following the rules.,The babysitter disowned the parents for not paying them on time.,The parents disowned the babysitter for not being able to take care of their child.,The babysitter disowned the parents for not being able to provide a safe environment for their child.
disown,babysitter,ARG1,The parents disowned the babysitter for neglecting their child.,The babysitter was disowned by the parents for not following the rules.,The babysitter disowned the parents for not paying them on time.,The parents disowned the babysitter for not being able to take care of their child.,The babysitter disowned the parents for not being able to provide a safe environment for their child.
disown,daughter,ARG0,My mother disowned me when I was a teenager.,The government disowned the child who was born in a foreign country.,The company disowned the employee who was caught stealing.,The family disowned the son who was involved in a scandal.,The community disowned the person who was accused of being a fraud.
disown,daughter,ARG1,My parents disowned me when I got pregnant at 17.,The government disowned the child when it was born with a rare genetic disorder.,The company disowned the employee who embezzled money from the company.,The family disowned the son who was involved in a scandalous affair.,The community disowned the person who was accused of murder.
disown,slave,ARG0,The king disowned his slave for being lazy.,The queen disowned her daughter for marrying beneath her station.,The CEO disowned his company for engaging in unethical practices.,The politician disowned his party for supporting a controversial policy.,The artist disowned his work for feeling it was not good enough.
disown,slave,ARG1,The king disowned his slave for being lazy.,The queen disowned her daughter for marrying beneath her station.,The CEO disowned his company for engaging in unethical practices.,The politician disowned his party for supporting a controversial policy.,The artist disowned his work for feeling it was not good enough.
do,laborer,ARG0,The laborer does the work.,The laborer does the job.,The laborer does the task.,The laborer does the chore.,The laborer does the duty.
do,laborer,ARG1,The laborer does the work.,The laborer does the job.,The laborer does the task.,The laborer does the chore.,The laborer does the duty.
do,sloth,ARG0,The sloth does nothing.,The sloth does not do anything.,The sloth does not do anything at all.,The sloth does not do anything productive.,The sloth does not do anything useful.
do,sloth,ARG1,The sloth does nothing.,The sloth does not do anything.,The sloth does not do anything at all.,The sloth does not do anything productive.,The sloth does not do anything useful.
do,vegetable,ARG0,Do you like to eat vegetables?,Do you eat vegetables for breakfast?,Do you prefer to eat vegetables over meat?,Do you think vegetables are healthy?,Do you believe that vegetables are good for your health?
do,vegetable,ARG1,Do you like to eat vegetables?,Do you eat vegetables for breakfast?,Do you prefer to eat vegetables over meat?,Do you think vegetables are healthy?,Do you believe that vegetables are good for your health?
do,work,ARG0,I do work at the office.,He does not work at the office.,She does work at the office.,They do not work at the office.,We do not work at the office.
do,work,ARG1,I do work at the office.,He does not work at the office.,She does work at the office.,They do not work at the office.,We do not work at the office.
draw,artist,ARG0,The artist drew a beautiful picture.,The artist drew a portrait of the king.,The artist drew a landscape.,The artist drew a self-portrait.,The artist drew a still life.
draw,artist,ARG1,The artist drew a beautiful landscape.,The artist drew a portrait of the king.,The artist drew a quick sketch of the city.,The artist drew a detailed map of the forest.,The artist drew a colorful mural on the wall.
draw,model,ARG0,The artist drew a model of the new building.,The architect drew a model of the proposed design.,The engineer drew a model of the proposed system.,The scientist drew a model of the new theory.,The artist drew a model of the new painting.
draw,model,ARG1,The artist drew a model of the new building.,The architect drew a model of the proposed design.,The engineer drew a model of the proposed system.,The scientist drew a model of the hypothetical scenario.,The artist drew a model of the imaginary world.
draw,picture,ARG0,I drew a picture of the beautiful landscape.,The artist drew a portrait of the famous actor.,The child drew a simple picture of a cat.,The artist drew a detailed picture of the city skyline.,The scientist drew a diagram of the complex molecule.
draw,picture,ARG1,I drew a picture of a cat.,She drew a picture of a dog.,He drew a picture of a tree.,They drew a picture of a house.,We drew a picture of a car.
draw,poster,ARG0,I drew a poster of the beautiful landscape.,The artist drew a poster of the city skyline.,The children drew a poster of their favorite animal.,The teacher drew a poster of the classroom.,The artist drew a poster of the famous painting.
draw,poster,ARG1,I drew a poster of the new movie.,The artist drew a poster of the concert.,The children drew a poster of their favorite animal.,The teacher drew a poster of the new school year.,The company drew a poster of their new product.
eat,chicken,ARG0,I ate a chicken.,The chicken was eaten by me.,The chicken was eaten by a person.,The chicken was eaten by a group of people.,The chicken was eaten by a group of animals.
eat,chicken,ARG1,I ate a chicken for lunch.,The chicken I ate was delicious.,I ate a chicken for dinner.,The chicken I ate was juicy.,I ate a chicken for breakfast.
eat,man,ARG0,The man ate a sandwich.,The man ate a pizza.,The man ate a salad.,The man ate a burger.,The man ate a slice of cake.
eat,man,ARG1,The man ate a sandwich.,The man ate a pizza.,The man ate a salad.,The man ate a burger.,The man ate a slice of cake.
eat,poultry,ARG0,The poultry ate the bread.,The poultry ate the meat.,The poultry ate the vegetables.,The poultry ate the fruit.,The poultry ate the dessert.
eat,poultry,ARG1,The poultry ate the bread.,The poultry ate the vegetables.,The poultry ate the fruit.,The poultry ate the meat.,The poultry ate the eggs.
eat,steak,ARG0,I ate a steak for dinner.,Steak is my favorite food.,The steak was cooked to perfection.,I love eating steak.,Steak is a great source of protein.
eat,steak,ARG1,I ate a steak for dinner.,Steak is my favorite food.,The steak was cooked to perfection.,I love eating steak.,Steak is a great source of protein.
enslave,army,ARG0,The army enslaved the people.,The people were enslaved by the army.,The army enslaved the people forcibly.,The people were forcibly enslaved by the army.,The army enslaved the people through violence.
enslave,army,ARG1,The army enslaved the people.,The enslaved people were forced to work in the mines.,The enslaved people were treated cruelly by their masters.,The enslaved people were denied basic rights and freedoms.,The enslaved people were subjected to harsh punishments for any infractions.
enslave,peasants,ARG0,The king enslaved the peasants to work in the fields.,The queen enslaved the peasants to serve in the castle.,The emperor enslaved the peasants to build the great wall.,The dictator enslaved the peasants to work in the mines.,The warlord enslaved the peasants to fight in the battles.
enslave,peasants,ARG1,The king enslaved the peasants to work in the fields.,The queen enslaved the peasants to serve in the castle.,The emperor enslaved the peasants to build the great wall.,The dictator enslaved the peasants to work in the mines.,The warlord enslaved the peasants to fight in the battles.
enslave,pirates,ARG0,The pirates enslaved the villagers.,The pirates enslaved the prisoners.,The pirates enslaved the slaves.,The pirates enslaved the people.,The pirates enslaved the inhabitants.
enslave,pirates,ARG1,The pirates enslaved the villagers.,The pirates enslaved the prisoners.,The pirates enslaved the slaves.,The pirates enslaved the people.,The pirates enslaved the inhabitants.
enslave,victim,ARG0,The slave master enslaved the victim.,The enslaver enslaved the victim.,The enslaved victim was enslaved by the enslaver.,"The enslaver enslaved the victim, who was then enslaved.","The enslaved victim was enslaved by the enslaver, who enslaved them."
enslave,victim,ARG1,The slave master enslaved the victim.,The enslaver enslaved the victim.,The enslaved victim was enslaved by the enslaver.,The enslaver enslaved the victim with a whip.,The enslaved victim was enslaved by the enslaver with a whip.
entertain,audience,ARG0,The audience was entertained by the concert.,The audience was entertained by the magician's tricks.,The audience was entertained by the comedy show.,The audience was entertained by the dance performance.,The audience was entertained by the musician's rendition of their favorite song.
entertain,audience,ARG1,The audience was entertained by the concert.,The audience was entertained by the magician's tricks.,The audience was entertained by the comedy show.,The audience was entertained by the dance performance.,The audience was entertained by the music video.
entertain,businessman,ARG0,The businessman entertained the guests with his jokes.,The businessman entertained the audience with his speech.,The businessman entertained the team with his presentation.,The businessman entertained the guests with his music.,The businessman entertained the audience with his dance performance.
entertain,businessman,ARG1,The businessman entertained the guests with his charming speech.,The businessman entertained the audience with his witty jokes.,The businessman entertained the team with his motivational speech.,The businessman entertained the guests with his musical performance.,The businessman entertained the children with his funny stories.
entertain,comedian,ARG0,The comedian entertained the audience with his jokes.,The comedian was the main attraction at the comedy club.,The comedian's stand-up routine was entertaining.,The comedian's comedy show was a hit with the audience.,The comedian's humor was entertaining and made everyone laugh.
entertain,comedian,ARG1,The comedian entertained the audience with his stand-up routine.,The comedian's entertaining performance was a hit with the crowd.,The comedian's jokes were entertaining and well-received by the audience.,The comedian's comedy show was a great way to entertain the crowd.,The comedian's entertaining act was a highlight of the event.
entertain,idea,ARG0,I had an idea for a new entertainment venue.,The idea for the new entertainment venue was a hit.,The entertainment venue was a huge success.,The entertainment venue was a great place to entertain.,The entertainment venue was a place where people could come to be entertained.
entertain,idea,ARG1,I had an idea for a new entertainment venue.,The idea for the new entertainment venue was a hit.,The entertainment venue was a huge success.,The entertainment venue was a great place to entertain.,The entertainment venue was a place where people could come to be entertained.
entertain,patron,ARG0,The patron entertained the guests with a lively performance.,The host entertained the guests with a delicious meal.,The performer entertained the audience with a thrilling show.,The chef entertained the guests with a mouth-watering menu.,The DJ entertained the crowd with a funky playlist.
entertain,patron,ARG1,The patron entertained the guests with a lively performance.,The host entertained the guests with a delicious meal.,The performer entertained the audience with a thrilling show.,The chef entertained the guests with a mouth-watering menu.,The DJ entertained the crowd with a funky playlist.
entertain,stripper,ARG0,The stripper entertained the crowd with her acrobatic moves.,The stripper entertained the audience with her sensual dance.,The stripper entertained the guests with her comedic routine.,The stripper entertained the team with her energetic performance.,The stripper entertained the children with her colorful costumes.
entertain,stripper,ARG1,The stripper entertained the crowd with her acrobatic moves.,The stripper entertained the audience with her sensual dance.,The stripper entertained the guests with her comedic routine.,The stripper entertained the team with her energetic performance.,The stripper entertained the children with her colorful costumes.
evaluate,applicant,ARG0,The hiring manager evaluated the applicant's qualifications and skills.,The evaluator evaluated the applicant's experience and performance.,The evaluator evaluated the applicant's personality and fit for the role.,The evaluator evaluated the applicant's communication skills and ability to work in a team.,The evaluator evaluated the applicant's ability to adapt to new situations and challenges.
evaluate,applicant,ARG1,The hiring manager evaluated the applicant's qualifications and skills.,The teacher evaluated the student's performance on the test.,The doctor evaluated the patient's medical history and symptoms.,The jury evaluated the defendant's guilt or innocence.,The judge evaluated the plaintiff's claim and the defendant's defense.
evaluate,automobile,ARG0,The car was evaluated as reliable.,The car was evaluated as fast.,The car was evaluated as comfortable.,The car was evaluated as stylish.,The car was evaluated as affordable.
evaluate,automobile,ARG1,The car was evaluated for its performance.,The car was evaluated for its safety features.,The car was evaluated for its fuel efficiency.,The car was evaluated for its reliability.,The car was evaluated for its design.
evaluate,committee,ARG0,The committee evaluated the proposal.,The committee evaluated the project.,The committee evaluated the candidate.,The committee evaluated the product.,The committee evaluated the decision.
evaluate,committee,ARG1,The committee evaluated the proposal.,The committee evaluated the project.,The committee evaluated the candidate.,The committee evaluated the product.,The committee evaluated the performance.
evaluate,instructor,ARG0,The instructor evaluated the student's performance.,The instructor evaluated the course's difficulty.,The instructor evaluated the student's understanding of the material.,The instructor evaluated the student's participation in class.,The instructor evaluated the student's ability to apply the concepts to real-world situations.
evaluate,instructor,ARG1,The instructor evaluated the student's performance.,The instructor evaluated the course's difficulty.,The instructor evaluated the student's understanding of the material.,The instructor evaluated the student's participation in class.,The instructor evaluated the student's ability to apply the concepts to real-world situations.
evaluate,possibilities,ARG0,The possibilities were evaluated for their potential impact on the project.,The team evaluated the possibilities for their feasibility.,The market evaluated the possibilities for their viability.,The investors evaluated the possibilities for their potential return.,The company evaluated the possibilities for their potential risks.
evaluate,possibilities,ARG1,The possibilities were evaluated for their potential impact on the project.,The team evaluated the possibilities for their feasibility.,The market evaluated the possibilities for their viability.,The investors evaluated the possibilities for their potential return.,The company evaluated the possibilities for their potential risks.
evaluate,student,ARG0,The teacher evaluated the student's performance in the exam.,The student evaluated the teacher's teaching style.,The student evaluated the course's difficulty level.,The student evaluated the professor's knowledge in the subject.,The student evaluated the course's relevance to their career goals.
evaluate,student,ARG1,The teacher evaluated the student's performance in the exam.,The student evaluated the teacher's teaching style.,The student evaluated the course's difficulty level.,The student evaluated the professor's knowledge in the subject.,The student evaluated the course's relevance to their career goals.
evaluate,supervisor,ARG0,The supervisor evaluated the project's progress.,The supervisor evaluated the team's performance.,The supervisor evaluated the candidate's qualifications.,The supervisor evaluated the product's quality.,The supervisor evaluated the employee's work ethic.
evaluate,supervisor,ARG1,The supervisor evaluated the project's progress.,The supervisor evaluated the team's performance.,The supervisor evaluated the candidate's qualifications.,The supervisor evaluated the product's quality.,The supervisor evaluated the customer's satisfaction.
examine,defendant,ARG0,The prosecutor examined the defendant's testimony.,The judge examined the evidence presented by the prosecution.,The jury examined the defendant's alibi.,The defense examined the witnesses for the prosecution.,The defendant examined the evidence against them.
examine,defendant,ARG1,The prosecutor examined the defendant to determine their guilt.,The judge examined the defendant to determine their sentence.,The police examined the defendant to determine their involvement in the crime.,The forensic scientist examined the defendant to determine their DNA.,The psychologist examined the defendant to determine their mental state.
examine,doctor,ARG0,The doctor examined the patient's symptoms.,The doctor examined the patient's medical history.,The doctor examined the patient's physical examination results.,The doctor examined the patient's test results.,The doctor examined the patient's treatment plan.
examine,doctor,ARG1,The doctor examined the patient's symptoms.,The doctor examined the patient's medical history.,The doctor examined the patient's physical examination results.,The doctor examined the patient's test results.,The doctor examined the patient's treatment plan.
examine,evidence,ARG0,The evidence was examined to determine its validity.,The expert examined the evidence to support their conclusion.,The witness examined the evidence to prove their claim.,The investigator examined the evidence to identify the perpetrator.,The scientist examined the evidence to determine the cause of the phenomenon.
examine,evidence,ARG1,The evidence was examined to determine its validity.,The expert examined the evidence to determine its relevance.,The witness examined the evidence to establish the facts.,The jury examined the evidence to reach a verdict.,The scientist examined the evidence to understand the phenomenon.
examine,horse,ARG0,The horse was examined by the veterinarian.,The horse was examined by the trainer.,The horse was examined by the owner.,The horse was examined by the farrier.,The horse was examined by the groom.
examine,horse,ARG1,The scientist examined the horse to determine its health.,The veterinarian examined the horse to diagnose its illness.,The trainer examined the horse to assess its fitness.,The researcher examined the horse to study its behavior.,The historian examined the horse to learn about its past.
examine,patient,ARG0,The doctor examined the patient's symptoms.,The researcher examined the data to determine the cause of the disease.,The scientist examined the specimen to identify the presence of a particular protein.,The teacher examined the student's work to assess their understanding of the material.,The detective examined the evidence to determine the identity of the suspect.
examine,patient,ARG1,The doctor examined the patient's symptoms.,The researcher examined the data to determine the cause of the disease.,The scientist examined the specimen to identify the presence of a particular protein.,The teacher examined the student's work to assess their understanding of the material.,The detective examined the evidence to piece together the events of the crime.
examine,report,ARG0,The report was examined by the committee to determine its validity.,The committee examined the report to ensure its accuracy.,The report was examined by the expert to verify its findings.,The expert examined the report to provide a detailed analysis.,The report was examined by the public to understand its implications.
examine,report,ARG1,The researcher examined the report and found it to be accurate.,The scientist examined the data and discovered a new phenomenon.,The journalist examined the evidence and wrote a compelling article.,The teacher examined the student's work and gave them feedback.,The doctor examined the patient's symptoms and prescribed medication.
examine,scientist,ARG0,The scientist examined the sample.,The scientist examined the data.,The scientist examined the hypothesis.,The scientist examined the theory.,The scientist examined the experiment.
examine,scientist,ARG1,The scientist examined the sample with a microscope.,The scientist examined the data with a statistical analysis.,The scientist examined the theory with a critical evaluation.,The scientist examined the hypothesis with a rigorous test.,The scientist examined the evidence with a thorough review.
excuse,auditor,ARG0,"I'm sorry, but I can't attend the meeting today. I have an auditor coming to my office.","I'm sorry, but I can't make it to the party tonight. I have an auditor coming to my house.","I'm sorry, but I can't go to the concert tomorrow. I have an auditor coming to my apartment.","I'm sorry, but I can't go to the beach this weekend. I have an auditor coming to my hotel room.","I'm sorry, but I can't go to the restaurant for dinner tonight. I have an auditor coming to my workplace."
excuse,auditor,ARG1,The auditor excused the speaker for not attending the meeting.,The auditor excused the speaker for not providing the necessary documentation.,The auditor excused the speaker for not being able to attend the meeting due to personal reasons.,The auditor excused the speaker for not being able to provide the necessary documentation due to technical issues.,The auditor excused the speaker for not being able to attend the meeting due to unforeseen circumstances.
excuse,drummer,ARG0,The drummer excused himself from the meeting.,The drummer excused his absence from the concert.,The drummer excused his tardiness from school.,The drummer excused his mistake from the project.,The drummer excused his poor performance from the competition.
excuse,drummer,ARG1,The drummer excused himself from the meeting.,The drummer excused his absence from the concert.,The drummer excused his tardiness from school.,The drummer excused his mistake from the project.,The drummer excused his poor performance from the competition.
excuse,optometrist,ARG0,The optometrist excused me from the examination because I was feeling unwell.,The optometrist excused me from the examination because I had a prior commitment.,The optometrist excused me from the examination because I was not feeling well.,The optometrist excused me from the examination because I had a family emergency.,The optometrist excused me from the examination because I was not feeling well enough to participate.
excuse,optometrist,ARG1,The optometrist excused me from the exam because I was feeling nauseous.,The optometrist excused me from the exam because I had a headache.,The optometrist excused me from the exam because I was feeling dizzy.,The optometrist excused me from the exam because I was feeling lightheaded.,The optometrist excused me from the exam because I was feeling unwell.
excuse,prince,ARG0,The prince excused himself from the meeting.,The prince excused his absence from the meeting.,The prince excused his tardiness from the meeting.,The prince excused his mistake from the meeting.,The prince excused his failure from the meeting.
excuse,prince,ARG1,The prince excused himself from the meeting.,The prince excused his absence from the party.,The prince excused his tardiness from the lecture.,The prince excused his mistake from the exam.,The prince excused his failure from the project.
execute,hangman,ARG0,The hangman executed the death penalty on the criminal.,The hangman executed the sentence on the criminal.,The hangman executed the punishment on the criminal.,The hangman executed the justice on the criminal.,The hangman executed the retribution on the criminal.
execute,hangman,ARG1,The hangman executed the death penalty on the criminal.,The hangman executed the sentence on the criminal.,The hangman executed the punishment on the criminal.,The hangman executed the justice on the criminal.,The hangman executed the retribution on the criminal.
execute,hostages,ARG0,The terrorists executed the hostages in cold blood.,The police executed the suspects in a swift and efficient manner.,The military executed the plan with precision and accuracy.,The executioner executed the condemned man with a swift and deadly blow.,The judge executed the verdict with a heavy heart.
execute,hostages,ARG1,The terrorists executed the hostages in cold blood.,The police executed the suspects in a swift and efficient manner.,The military executed the plan with precision and accuracy.,The executioner executed the condemned man with a swift and deadly blow.,The judge executed the verdict with a heavy heart.
execute,martyr,ARG0,The terrorist executed the martyr.,The government executed the martyr.,The military executed the martyr.,The insurgents executed the martyr.,The rebels executed the martyr.
execute,martyr,ARG1,The terrorist executed the martyr.,The government executed the martyr.,The military executed the martyr.,The insurgents executed the martyr.,The rebels executed the martyr.
execute,martyr,ARG0,The terrorist executed the martyr.,The government executed the martyr.,The military executed the martyr.,The insurgents executed the martyr.,The rebels executed the martyr.
execute,martyr,ARG1,The terrorist executed the martyr.,The government executed the martyr.,The military executed the martyr.,The insurgents executed the martyr.,The rebels executed the martyr.
execute,murderer,ARG0,The police executed the murderer.,The judge executed the death sentence.,The executioner executed the prisoner.,The executioner executed the condemned man.,The executioner executed the criminal.
execute,murderer,ARG1,The police executed the murderer.,The judge executed the death sentence.,The executioner executed the prisoner.,The executioner executed the condemned man.,The executioner executed the criminal.
execute,nun,ARG0,The nun executed the plan with precision.,The nun executed the task with diligence.,The nun executed the order with obedience.,The nun executed the decision with conviction.,The nun executed the plan with determination.
execute,nun,ARG1,The nun executed the plan with precision.,The nun executed the task with diligence.,The nun executed the order with obedience.,The nun executed the decision with conviction.,The nun executed the plan with determination.
execute,plumber,ARG0,The plumber executed the repair.,The plumber executed the installation.,The plumber executed the inspection.,The plumber executed the maintenance.,The plumber executed the repair and installation.
execute,plumber,ARG1,The plumber executed the repair.,The plumber executed the installation.,The plumber executed the inspection.,The plumber executed the maintenance.,The plumber executed the repair and installation.
execute,strategy,ARG0,The company executed a new strategy to increase sales.,The military executed a successful raid on the enemy base.,The government executed a new law to reduce crime.,The company executed a new marketing campaign to increase brand awareness.,The athlete executed a perfect dive to win the gold medal.
execute,strategy,ARG1,The company executed a new strategy to increase sales.,The military executed a successful raid on the enemy base.,The government executed a new law to reduce crime.,The company executed a new marketing campaign to increase brand awareness.,The athlete executed a perfect dive to win the gold medal.
execute,terrorists,ARG0,The government executed the terrorists in the city.,The military executed the terrorists in the countryside.,The police executed the terrorists in the town.,The vigilantes executed the terrorists in the village.,The vigilantes executed the terrorists in the city.
execute,terrorists,ARG1,The government executed the terrorists in the city.,The military executed the terrorists in the countryside.,The police executed the terrorists in the town.,The vigilantes executed the terrorists in the village.,The vigilantes executed the terrorists in the city.
exile,criminal,ARG0,The exile of the criminal was a just punishment.,The criminal was exiled to a remote island.,The exile of the criminal was a necessary measure to protect the community.,The criminal was exiled to a foreign country to avoid further harm.,The exile of the criminal was a form of rehabilitation to help them change their ways.
exile,criminal,ARG1,The exile of the criminal was a just punishment.,The criminal was exiled to a remote island.,The exile of the criminal was a necessary measure to protect the community.,The criminal was exiled to a foreign country to avoid further harm.,The exile of the criminal was a form of rehabilitation to help them change their ways.
exile,dictator,ARG0,The dictator was exiled from the country.,The dictator was exiled to a remote island.,The dictator was exiled to a foreign country.,The dictator was exiled to a prison cell.,The dictator was exiled to a mental institution.
exile,dictator,ARG1,The dictator was exiled from the country.,The dictator was exiled to a remote island.,The dictator was exiled to a foreign country.,The dictator was exiled to a prison cell.,The dictator was exiled to a mental institution.
expect,housewife,ARG0,I expect the housewife to clean the house.,The housewife is expected to clean the house.,The housewife is expected to do the dishes.,The housewife is expected to cook dinner.,The housewife is expected to take care of the children.
expect,housewife,ARG1,I expect the housewife to clean the house.,The housewife is expected to clean the house.,The housewife is expected to do the dishes.,The housewife is expected to cook dinner.,The housewife is expected to take care of the children.
expect,mailman,ARG0,I expect the mailman to deliver the package by tomorrow.,The mailman is expected to deliver the package by tomorrow.,The package is expected to be delivered by the mailman by tomorrow.,The mailman is expected to deliver the package on time.,The package is expected to be delivered by the mailman on time.
expect,mailman,ARG1,I expect the mailman to deliver the package by tomorrow.,The mailman is expected to deliver the package by tomorrow.,The package is expected to be delivered by the mailman by tomorrow.,The mailman is expected to deliver the package on time.,The package is expected to be delivered by the mailman on time.
expect,package,ARG0,I expect the package to arrive tomorrow.,The package is expected to arrive tomorrow.,The package is expected to arrive on time.,The package is expected to arrive soon.,The package is expected to arrive within the next few days.
expect,package,ARG1,I expect the package to arrive tomorrow.,The package is expected to arrive tomorrow.,The package is expected to arrive on time.,The package is expected to arrive soon.,The package is expected to arrive within the next few days.
expect,plumber,ARG0,I expect the plumber to arrive soon.,The plumber is expected to fix the leak.,The plumber is expected to arrive at 3 PM.,The plumber is expected to fix the leak by tomorrow.,The plumber is expected to arrive with the necessary tools.
expect,plumber,ARG1,I expect the plumber to arrive soon.,The plumber is expected to fix the leak.,The plumber is expected to arrive at 3 PM.,The plumber is expected to fix the leak before the party.,The plumber is expected to arrive with the necessary tools.
expect,salesman,ARG0,I expect the salesman to arrive soon.,The salesman is expected to arrive soon.,The salesman is expected to arrive on time.,The salesman is expected to arrive before the deadline.,The salesman is expected to arrive with the goods.
expect,salesman,ARG1,The salesman expected a good sale.,The salesman expected a high profit.,The salesman expected a successful sale.,The salesman expected a good return on investment.,The salesman expected a good outcome.
fight,boxer,ARG0,The boxer fought in the ring.,The boxer fought the other boxer.,The boxer fought to win the championship.,The boxer fought to defend his title.,The boxer fought to prove his skills.
fight,boxer,ARG1,The boxer fought in the ring.,The boxer fought the other boxer.,The boxer fought to win the championship.,The boxer fought to defend his title.,The boxer fought to prove his skills.
fight,landlord,ARG0,The landlord fought with the tenant over the rent.,The landlord fought with the tenant over the lease.,The landlord fought with the tenant over the property.,The landlord fought with the tenant over the dispute.,The landlord fought with the tenant over the issue.
fight,landlord,ARG1,The landlord fought with the tenant over the rent.,The landlord fought with the tenant over the lease.,The landlord fought with the tenant over the property.,The landlord fought with the tenant over the dispute.,The landlord fought with the tenant over the legal action.
fight,maniac,ARG0,The maniac fought the bear.,The bear fought the maniac.,The maniac fought the lion.,The lion fought the maniac.,The maniac fought the tiger.
fight,maniac,ARG1,The maniac fought the bear.,The bear fought the maniac.,The maniac fought the lion.,The lion fought the maniac.,The maniac fought the tiger.
fight,pacifist,ARG0,The pacifist refused to fight in the war.,The pacifist was not interested in fighting.,The pacifist did not want to fight.,The pacifist was not willing to fight.,The pacifist did not fight in the war.
fight,pacifist,ARG1,The pacifist refused to fight in the war.,The pacifist was not interested in fighting.,The pacifist did not want to fight.,The pacifist was not willing to fight.,The pacifist did not fight in the war.
fight,wrestler,ARG0,The wrestler fought the other wrestler.,The wrestler fought the other wrestler with all his might.,The wrestler fought the other wrestler with a fierce determination.,The wrestler fought the other wrestler with a fierce determination and a strong will.,"The wrestler fought the other wrestler with a fierce determination and a strong will, and emerged victorious."
fight,wrestler,ARG1,The wrestler fought the other wrestler.,The wrestler fought the other wrestler with all his might.,The wrestler fought the other wrestler with a fierce determination.,The wrestler fought the other wrestler with a fierce determination and a strong will.,"The wrestler fought the other wrestler with a fierce determination and a strong will, and emerged victorious."
find,archeologist,ARG0,The archeologist found the ancient artifacts in the ruins.,The archeologist found the lost city.,The archeologist found the hidden treasure.,The archeologist found the evidence of the ancient civilization.,The archeologist found the clues to the mystery of the lost city.
find,archeologist,ARG1,The archeologist found the ancient artifacts in the ruins.,The archeologist found the lost city.,The archeologist found the hidden treasure.,The archeologist found the evidence of the ancient civilization.,The archeologist found the clues to the mystery of the lost city.
find,child,ARG0,I found the child in the park.,The child was found in the forest.,The child was found by the police.,The child was found in the hospital.,The child was found in the orphanage.
find,child,ARG1,I found the child in the park.,The child was found in the forest.,The child was found by the police.,The child was found in the hospital.,The child was found in the orphanage.
find,goat,ARG0,I found the goat in the field.,The goat was found in the forest.,The goat was found by the hunter.,The goat was found in the meadow.,The goat was found in the mountains.
find,goat,ARG1,The goat found the lost sheep.,The goat found the missing key.,The goat found the hidden treasure.,The goat found the lost child.,The goat found the missing person.
find,kitten,ARG0,I found a kitten in the park.,The kitten was found in the forest.,The kitten was found by the dog.,The kitten was found in the house.,The kitten was found in the garden.
find,kitten,ARG1,I found a kitten in the park.,The kitten was found in the forest.,The kitten was found by the dog.,The kitten was found in the house.,The kitten was found in the garden.
find,singer,ARG0,I found a singer in the park.,The singer was found in the concert hall.,The singer was found in the recording studio.,The singer was found in the music store.,The singer was found in the music venue.
find,singer,ARG1,I found the singer in the concert hall.,The singer was found in the park.,The singer was found in the city.,The singer was found in the forest.,The singer was found in the mountains.
fire,employee,ARG0,The employee fired the manager.,The manager was fired by the employee.,The employee fired the employee.,The employee was fired by the manager.,The manager fired the employee.
fire,employee,ARG1,The employee fired the manager.,The manager was fired by the employee.,The employee fired the employee.,The employee was fired by the manager.,The manager fired the employee.
fire,employer,ARG0,The employer fired the employee.,The employee was fired by the employer.,The employer fired the employee for misconduct.,The employee was fired for not meeting expectations.,The employer fired the employee due to budget constraints.
fire,employer,ARG1,The employer fired the employee.,The employee was fired by the employer.,The employer fired the employee for misconduct.,The employee was fired by the employer for misconduct.,The employer fired the employee for poor performance.
fire,laborer,ARG0,The laborer fired the furnace.,The laborer fired the furnace with a hammer.,The laborer fired the furnace with a lighter.,The laborer fired the furnace with a flamethrower.,The laborer fired the furnace with a blowtorch.
fire,laborer,ARG1,The laborer fired the furnace.,The laborer fired the furnace with a hammer.,The laborer fired the furnace with a lighter.,The laborer fired the furnace with a flamethrower.,The laborer fired the furnace with a blowtorch.
fire,owner,ARG0,The owner of the fire hydrant is responsible for keeping it in good working order.,The owner of the fire extinguisher is responsible for keeping it in a safe place.,The owner of the fire alarm is responsible for testing it regularly.,The owner of the fire escape route is responsible for ensuring it is clear and accessible.,The owner of the fire safety plan is responsible for implementing it and making sure everyone knows their role.
fire,owner,ARG1,The owner of the fire hydrant is responsible for keeping it in good working order.,The owner of the fire extinguisher is responsible for keeping it in a safe place.,The owner of the fire alarm is responsible for testing it regularly.,The owner of the fire escape route is responsible for ensuring it is clear and accessible.,The owner of the fire safety plan is responsible for implementing it and making sure everyone knows their role.
